127.0.0.1, 2018-10-22 15:00:12, GET, /admin/static/_2.17.2/images/test_icon.png, HTTP/1.1, 200, 0.000415
127.0.0.1, 2018-10-22 15:00:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000163
127.0.0.1, 2018-10-22 15:01:06, POST, /admin/default/create_file, HTTP/1.1, 303, 0.019782
127.0.0.1, 2018-10-22 15:01:06, GET, /admin/default/design/lifeTracker, HTTP/1.1, 200, 0.050423
127.0.0.1, 2018-10-22 15:01:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000177
127.0.0.1, 2018-10-22 15:10:50, GET, /, HTTP/1.1, 303, 0.003296
127.0.0.1, 2018-10-22 15:10:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.107768
127.0.0.1, 2018-10-22 15:10:50, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000344
127.0.0.1, 2018-10-22 15:10:50, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001429
127.0.0.1, 2018-10-22 15:10:50, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001167
127.0.0.1, 2018-10-22 15:10:50, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002246
127.0.0.1, 2018-10-22 15:10:50, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002050
127.0.0.1, 2018-10-22 15:10:50, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001028
127.0.0.1, 2018-10-22 15:10:50, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001402
127.0.0.1, 2018-10-22 15:10:50, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000558
127.0.0.1, 2018-10-22 15:10:50, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001002
127.0.0.1, 2018-10-22 15:10:51, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000198
127.0.0.1, 2018-10-22 15:10:54, GET, /admin/default/index, HTTP/1.1, 200, 0.117371
127.0.0.1, 2018-10-22 15:10:54, GET, /admin/static/_2.17.2/js/jquery.js, HTTP/1.1, 200, 0.002174
127.0.0.1, 2018-10-22 15:10:54, GET, /admin/static/_2.17.2/css/calendar.css, HTTP/1.1, 200, 0.001861
127.0.0.1, 2018-10-22 15:10:54, GET, /admin/static/_2.17.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001860
127.0.0.1, 2018-10-22 15:10:54, GET, /admin/static/_2.17.2/js/calendar.js, HTTP/1.1, 200, 0.002342
127.0.0.1, 2018-10-22 15:10:54, GET, /admin/static/_2.17.2/js/web2py.js, HTTP/1.1, 200, 0.003336
127.0.0.1, 2018-10-22 15:10:54, GET, /admin/static/_2.17.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.004491
127.0.0.1, 2018-10-22 15:10:54, GET, /admin/static/_2.17.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004585
127.0.0.1, 2018-10-22 15:10:54, GET, /admin/static/_2.17.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.003647
127.0.0.1, 2018-10-22 15:10:54, GET, /admin/static/_2.17.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.002675
127.0.0.1, 2018-10-22 15:10:54, GET, /admin/static/_2.17.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002288
127.0.0.1, 2018-10-22 15:10:54, GET, /admin/static/_2.17.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.004736
127.0.0.1, 2018-10-22 15:10:54, GET, /admin/static/_2.17.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002114
127.0.0.1, 2018-10-22 15:10:54, GET, /admin/static/_2.17.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.003327
